build_year,sub_area,full_sq,kitch_sq,life_sq,num_room,floor,max_floor,month,dow,year,rel_floor,rel_kitch_sq,state,kindergarten_closely,railroad_closely,public_transport_station_closely,metro_closely,school_closely,park_closely,water_closely
,12,73.0,,38.0,,15.0,,9,0,2011,,,,1,1,1,1,1,0,1
,36,42.0,,27.0,,3.0,,9,1,2011,,,,1,1,1,0,1,0,0
,125,40.0,,20.0,,12.0,,9,1,2011,,,,1,0,1,1,1,0,0
,32,81.0,,46.0,,24.0,,9,1,2011,,,,1,1,1,1,1,0,0
,9,38.0,,34.0,,2.0,,9,2,2011,,,,1,1,1,0,1,0,1
,67,31.0,,18.0,,4.0,,9,2,2011,,,,1,1,1,0,1,0,0
,124,39.0,,19.0,,1.0,,9,2,2011,,,,0,1,1,0,1,0,0
,60,39.0,,20.0,,1.0,,9,2,2011,,,,1,0,1,1,1,0,1
,56,37.0,,19.0,,9.0,,9,3,2011,,,,1,1,1,1,1,1,1
,15,27.0,,27.0,,4.0,,9,4,2011,,,,0,1,1,1,1,0,0
,134,33.0,,18.0,,2.0,,9,4,2011,,,,1,1,1,1,1,0,1
,134,33.0,,18.0,,9.0,,9,4,2011,,,,1,1,1,0,1,0,0
,20,45.0,,30.0,,5.0,,9,4,2011,,,,1,1,1,0,0,0,1
,15,54.0,,30.0,,10.0,,9,4,2011,,,,1,1,1,0,0,0,1
,105,40.0,,25.0,,3.0,,10,5,2011,,,,1,1,1,1,0,1,0
,43,59.0,,42.0,,8.0,,10,5,2011,,,,1,0,1,1,1,0,1
,13,77.0,,45.0,,10.0,,10,5,2011,,,,1,0,1,1,1,0,1
,65,42.0,,22.0,,24.0,,10,5,2011,,,,0,1,1,1,0,0,1
,139,38.0,,23.0,,4.0,,10,0,2011,,,,1,1,0,1,1,0,0
,74,36.0,,18.0,,5.0,,10,0,2011,,,,1,1,1,1,0,0,1
,36,44.0,,28.0,,2.0,,10,0,2011,,,,1,1,1,0,1,0,0
,142,37.0,,19.0,,11.0,,10,0,2011,,,,1,1,1,0,0,0,1
,140,37.0,,19.0,,6.0,,10,0,2011,,,,1,0,1,1,1,0,0
,128,46.0,,29.0,,9.0,,10,0,2011,,,,1,1,1,0,1,0,0
,22,38.0,,37.0,,11.0,,10,0,2011,,,,0,1,1,1,0,0,1
,56,34.0,,19.0,,10.0,,10,0,2011,,,,1,1,1,0,1,0,0
,75,43.0,,25.0,,1.0,,10,1,2011,,,,1,1,1,1,1,0,0
,38,35.0,,35.0,,6.0,,10,1,2011,,,,1,1,1,1,0,0,1
,120,75.0,,46.0,,12.0,,10,1,2011,,,,1,1,1,1,1,0,0
,51,96.0,,51.0,,16.0,,10,1,2011,,,,0,0,1,0,0,0,0
,34,52.0,,34.0,,4.0,,10,1,2011,,,,1,1,1,0,1,0,0
,105,44.0,,30.0,,10.0,,10,1,2011,,,,1,1,1,1,1,0,0
,75,39.0,,39.0,,10.0,,10,1,2011,,,,1,1,1,1,0,1,0
,22,35.0,,20.0,,11.0,,10,1,2011,,,,1,1,1,1,0,0,0
,116,63.0,,60.0,,12.0,,10,2,2011,,,,1,1,1,1,1,0,1
,22,51.0,,50.0,,16.0,,10,2,2011,,,,0,1,1,1,0,0,1
,80,45.0,,30.0,,6.0,,10,2,2011,,,,1,0,1,1,1,0,0
,9,32.0,,19.0,,9.0,,10,2,2011,,,,1,1,1,0,1,0,1
,78,64.0,,28.0,,10.0,,10,2,2011,,,,1,1,1,1,1,0,0
,21,38.0,,19.0,,8.0,,10,3,2011,,,,1,0,1,0,1,1,1
,22,37.0,,22.0,,6.0,,10,3,2011,,,,0,1,1,1,0,0,0
,140,46.0,,28.0,,3.0,,10,4,2011,,,,0,1,1,1,0,0,0
,79,74.0,,46.0,,17.0,,10,4,2011,,,,1,0,1,1,1,0,0
,52,30.0,,17.0,,7.0,,10,4,2011,,,,1,0,1,0,0,0,0
,129,53.0,,30.0,,13.0,,10,4,2011,,,,1,0,1,0,0,0,0
,34,133.0,,64.0,,2.0,,10,4,2011,,,,1,1,1,1,0,0,0
,38,63.0,,33.0,,2.0,,10,4,2011,,,,1,1,1,1,1,0,0
,5,43.0,,21.0,,7.0,,10,4,2011,,,,1,0,1,1,0,0,1
,124,34.0,,20.0,,7.0,,10,5,2011,,,,0,1,1,0,1,0,0
,85,43.0,,28.0,,9.0,,10,5,2011,,,,0,1,1,0,0,0,0
,43,76.0,,74.0,,7.0,,10,0,2011,,,,1,0,1,1,1,0,1
,77,32.0,,19.0,,8.0,,10,0,2011,,,,1,0,1,0,0,0,0
,24,50.0,,30.0,,5.0,,10,1,2011,,,,0,1,1,1,1,1,0
,114,72.0,,45.0,,1.0,,10,1,2011,,,,1,1,1,1,1,0,1
,82,45.0,,30.0,,3.0,,10,1,2011,,,,1,1,1,1,1,0,1
,29,54.0,,37.0,,4.0,,10,1,2011,,,,1,1,1,1,0,1,1
,67,39.0,,18.0,,8.0,,10,2,2011,,,,0,1,1,0,1,1,1
,123,51.0,,30.0,,15.0,,10,2,2011,,,,1,1,1,0,1,0,1
,128,41.0,,25.0,,5.0,,10,2,2011,,,,1,1,1,1,0,0,0
,23,37.0,,16.0,,9.0,,10,2,2011,,,,1,1,1,1,1,0,0
,9,44.0,,28.0,,4.0,,10,2,2011,,,,1,0,1,1,0,0,0
,116,38.0,,34.0,,3.0,,10,3,2011,,,,1,0,1,1,0,0,1
,130,26.0,,,,6.0,,10,3,2011,,,,1,1,1,1,1,0,0
,12,34.0,,19.0,,9.0,,10,3,2011,,,,1,1,1,1,1,0,1
,55,52.0,,30.0,,1.0,,10,3,2011,,,,1,1,1,0,1,0,0
,34,46.0,,27.0,,14.0,,10,3,2011,,,,0,1,1,1,0,0,0
,32,77.0,,40.0,,15.0,,10,3,2011,,,,1,1,1,0,1,0,0
,83,44.0,,20.0,,8.0,,10,3,2011,,,,1,1,1,1,1,0,1
,12,54.0,,31.0,,1.0,,10,3,2011,,,,1,1,1,0,1,0,0
,48,74.0,,72.0,,8.0,,10,3,2011,,,,1,1,1,0,1,0,1
,53,46.0,,28.0,,4.0,,10,3,2011,,,,1,1,1,1,0,0,0
,27,32.0,,19.0,,8.0,,10,3,2011,,,,0,1,1,0,0,0,0
,21,50.0,,30.0,,8.0,,10,4,2011,,,,1,1,1,0,1,0,0
,37,58.0,,43.0,,4.0,,10,4,2011,,,,1,0,1,0,1,1,0
,74,54.0,,32.0,,15.0,,10,4,2011,,,,0,1,1,1,1,0,1
,19,32.0,,17.0,,3.0,,10,4,2011,,,,1,0,1,1,0,0,0
,109,78.0,,47.0,,6.0,,10,4,2011,,,,1,1,0,0,1,0,0
,55,36.0,,34.0,,2.0,,10,4,2011,,,,1,1,1,0,1,0,0
,119,57.0,,33.0,,2.0,,10,4,2011,,,,0,1,1,0,1,0,1
,29,61.0,,42.0,,1.0,,10,4,2011,,,,1,1,1,1,1,0,0
,12,52.0,,30.0,,5.0,,10,4,2011,,,,1,0,1,0,1,0,1
,22,48.0,,31.0,,5.0,,10,4,2011,,,,1,1,1,1,0,0,0
,80,39.0,,21.0,,6.0,,10,5,2011,,,,1,0,1,0,1,0,1
,53,51.0,,31.0,,15.0,,10,5,2011,,,,1,1,1,1,0,0,0
,28,33.0,,32.0,,5.0,,10,5,2011,,,,1,1,1,0,0,0,1
,33,40.0,,20.0,,3.0,,10,5,2011,,,,1,1,1,0,1,0,0
,82,47.0,,29.0,,3.0,,10,5,2011,,,,1,0,1,0,0,0,1
,77,37.0,,19.0,,1.0,,10,5,2011,,,,0,0,1,0,1,0,1
,43,44.0,,27.0,,4.0,,10,5,2011,,,,1,0,1,0,0,0,1
,53,32.0,,20.0,,2.0,,10,0,2011,,,,1,1,1,1,0,0,0
,76,53.0,,32.0,,1.0,,10,0,2011,,,,1,1,1,1,1,0,0
,12,55.0,,35.0,,3.0,,10,0,2011,,,,1,0,1,0,1,0,0
,127,51.0,,28.0,,3.0,,10,0,2011,,,,1,1,1,0,1,1,1
,69,32.0,,19.0,,7.0,,10,0,2011,,,,1,1,1,0,0,0,1
,21,22.0,,14.0,,9.0,,10,0,2011,,,,1,1,1,0,1,1,1
,80,36.0,,17.0,,10.0,,10,1,2011,,,,1,0,1,0,1,0,1
,116,44.0,,27.0,,1.0,,10,1,2011,,,,1,1,1,1,1,0,1
,115,51.0,,30.0,,3.0,,10,1,2011,,,,1,0,1,1,1,0,0
,122,102.0,,64.0,,11.0,,10,1,2011,,,,1,1,1,1,0,0,0
,69,117.0,,108.0,,20.0,,10,1,2011,,,,0,1,1,1,1,0,0
,70,31.0,,20.0,,1.0,,10,1,2011,,,,1,1,1,0,1,0,1
,138,59.0,,42.0,,9.0,,10,1,2011,,,,1,1,1,0,1,0,0
,56,30.0,,18.0,,3.0,,10,2,2011,,,,1,0,1,1,0,0,0
,74,54.0,,32.0,,13.0,,10,2,2011,,,,1,1,1,0,1,0,0
,107,39.0,,22.0,,18.0,,10,2,2011,,,,1,0,1,0,0,0,0
,21,59.0,,38.0,,2.0,,10,2,2011,,,,1,1,1,0,1,0,1
,0,44.0,,29.0,,4.0,,10,3,2011,,,,1,1,1,1,1,0,0
,136,54.0,,35.0,,5.0,,10,3,2011,,,,1,1,1,1,1,1,1
,78,60.0,,42.0,,2.0,,10,3,2011,,,,1,1,1,0,1,0,0
,123,34.0,,19.0,,3.0,,10,3,2011,,,,1,1,1,1,1,1,1
,60,86.0,,50.0,,18.0,,10,3,2011,,,,1,0,1,1,0,1,1
,8,36.0,,19.0,,8.0,,10,3,2011,,,,1,1,1,1,1,0,1
,38,74.0,,45.0,,11.0,,10,3,2011,,,,0,1,1,0,0,0,1
,114,39.0,,21.0,,6.0,,10,3,2011,,,,1,0,1,1,0,0,1
,67,36.0,,19.0,,11.0,,10,3,2011,,,,1,1,1,0,1,0,1
,138,44.0,,28.0,,7.0,,10,3,2011,,,,1,1,1,0,0,0,0
,38,38.0,,20.0,,12.0,,10,3,2011,,,,1,1,1,1,1,0,1
,78,47.0,,31.0,,3.0,,10,3,2011,,,,1,1,1,1,1,0,1
,70,42.0,,26.0,,4.0,,10,3,2011,,,,1,0,1,0,1,0,1
,49,115.0,,60.0,,7.0,,10,4,2011,,,,1,0,1,0,1,0,0
,83,32.0,,18.0,,1.0,,10,4,2011,,,,1,1,1,1,1,1,1
,41,30.0,,18.0,,8.0,,10,4,2011,,,,1,1,1,1,0,0,0
,12,37.0,,22.0,,4.0,,10,4,2011,,,,1,1,1,1,1,0,0
,52,44.0,,30.0,,3.0,,10,4,2011,,,,1,0,1,1,1,0,0
,10,35.0,,22.0,,5.0,,10,4,2011,,,,1,1,1,0,1,0,1
,20,30.0,,18.0,,3.0,,10,4,2011,,,,1,1,1,0,0,0,1
,32,78.0,,74.0,,3.0,,10,5,2011,,,,1,1,1,0,1,1,0
,51,98.0,,94.0,,,,10,5,2011,,,,1,1,1,0,0,0,1
,84,32.0,,21.0,,7.0,,10,5,2011,,,,1,0,1,1,1,0,0
,1,68.0,,47.0,,2.0,,10,5,2011,,,,1,0,1,1,1,0,0
,80,38.0,,20.0,,2.0,,10,5,2011,,,,1,0,1,0,1,0,1
,13,38.0,,19.0,,7.0,,10,5,2011,,,,1,0,1,1,1,1,1
,82,98.0,,55.0,,12.0,,10,0,2011,,,,1,1,1,0,0,0,1
,70,49.0,,29.0,,,,10,0,2011,,,,0,0,1,0,0,0,1
,33,38.0,,19.0,,15.0,,10,0,2011,,,,1,0,1,0,1,0,1
,78,37.0,,19.0,,10.0,,10,0,2011,,,,0,1,1,0,0,0,0
,118,104.0,,64.0,,7.0,,10,0,2011,,,,0,1,1,1,0,1,0
,27,45.0,,28.0,,5.0,,10,0,2011,,,,1,1,1,1,0,0,0
,139,39.0,,39.0,,10.0,,10,1,2011,,,,1,0,1,0,1,0,0
,70,37.0,,23.0,,,,10,1,2011,,,,1,0,1,0,0,0,1
,6,36.0,,20.0,,5.0,,10,1,2011,,,,1,1,1,1,1,0,0
,40,54.0,,38.0,,3.0,,10,1,2011,,,,1,1,1,1,1,0,0
,42,54.0,,35.0,,2.0,,10,1,2011,,,,1,1,1,0,0,0,1
,25,102.0,,64.0,,8.0,,10,1,2011,,,,1,1,1,1,0,0,1
,31,38.0,,19.0,,15.0,,10,1,2011,,,,1,1,1,1,0,0,0
,38,33.0,,14.0,,8.0,,10,1,2011,,,,1,1,1,1,1,0,0
,61,30.0,,18.0,,3.0,,10,1,2011,,,,1,1,1,1,0,0,0
,41,76.0,,51.0,,2.0,,10,1,2011,,,,1,1,1,1,0,0,0
,139,44.0,,29.0,,8.0,,10,2,2011,,,,1,0,1,1,1,0,0
,53,35.0,,21.0,,5.0,,10,2,2011,,,,1,1,1,1,0,0,1
,49,72.0,,45.0,,10.0,,10,2,2011,,,,1,0,1,1,1,1,0
,18,32.0,,18.0,,6.0,,10,2,2011,,,,1,1,1,1,1,0,0
,119,84.0,,43.0,,21.0,,10,2,2011,,,,0,0,1,0,1,0,1
,18,45.0,,26.0,,5.0,,10,2,2011,,,,1,1,1,1,1,0,1
,40,38.0,,20.0,,5.0,,10,2,2011,,,,1,1,1,0,0,0,1
,112,37.0,,23.0,,7.0,,10,2,2011,,,,0,1,1,1,0,0,0
,37,54.0,,32.0,,15.0,,10,2,2011,,,,1,0,1,0,1,0,1
,40,43.0,,28.0,,2.0,,10,2,2011,,,,0,1,1,0,0,0,0
,18,45.0,,27.0,,,,10,2,2011,,,,1,1,1,1,1,0,1
,25,50.0,,28.0,,14.0,,10,3,2011,,,,0,1,1,0,1,0,1
,115,17.0,,13.0,,4.0,,10,3,2011,,,,1,0,1,1,1,0,0
,20,58.0,,38.0,,8.0,,10,3,2011,,,,1,1,1,1,1,0,0
,116,38.0,,19.0,,5.0,,10,3,2011,,,,1,1,1,1,1,0,1
,51,93.0,,54.0,,5.0,,10,4,2011,,,,0,0,1,0,1,1,1
,20,32.0,,17.0,,3.0,,10,4,2011,,,,1,1,1,1,1,0,0
,117,57.0,,43.0,,1.0,,10,4,2011,,,,0,0,1,0,1,0,0
,127,37.0,,19.0,,16.0,,10,4,2011,,,,1,1,1,0,1,1,1
,56,41.0,,27.0,,7.0,,10,4,2011,,,,1,0,1,0,1,0,0
,70,34.0,,19.0,,4.0,,10,4,2011,,,,1,1,1,0,1,0,1
,17,44.0,,27.0,,9.0,,10,4,2011,,,,1,0,1,1,1,0,1
,140,41.0,,21.0,,9.0,,10,4,2011,,,,1,1,1,1,1,0,0
,106,38.0,,23.0,,4.0,,10,5,2011,,,,1,1,1,1,0,1,1
,84,52.0,,30.0,,9.0,,10,5,2011,,,,1,1,1,1,1,0,1
,60,48.0,,10.0,,9.0,,10,5,2011,,,,1,1,1,0,1,0,1
,37,44.0,,28.0,,3.0,,10,5,2011,,,,1,0,1,1,1,0,0
,136,30.0,,17.0,,6.0,,10,5,2011,,,,1,1,1,0,1,0,0
,48,60.0,,33.0,,11.0,,10,5,2011,,,,1,1,1,0,1,0,0
,134,50.0,,34.0,,6.0,,10,5,2011,,,,1,1,1,1,1,0,0
,10,43.0,,19.0,,10.0,,10,5,2011,,,,1,1,1,0,0,0,0
,74,54.0,,32.0,,3.0,,10,5,2011,,,,1,1,1,0,1,0,0
,33,39.0,,21.0,,3.0,,10,5,2011,,,,1,0,1,0,1,0,1
,49,76.0,,45.0,,4.0,,10,5,2011,,,,1,0,1,1,1,1,0
,80,45.0,,29.0,,2.0,,10,0,2011,,,,1,0,1,0,1,0,0
,109,38.0,,21.0,,2.0,,10,0,2011,,,,1,1,1,1,1,0,0
,53,60.0,,34.0,,3.0,,10,0,2011,,,,1,1,1,1,0,0,0
,45,38.0,,18.0,,3.0,,10,0,2011,,,,1,0,1,1,1,1,0
,16,75.0,,45.0,,12.0,,10,0,2011,,,,0,0,1,1,1,0,0
,126,57.0,,42.0,,7.0,,10,0,2011,,,,1,1,1,1,1,0,0
,107,35.0,,14.0,,2.0,,10,0,2011,,,,0,0,1,0,1,0,1
,78,34.0,,19.0,,10.0,,10,0,2011,,,,1,1,1,0,1,0,1
,52,41.0,,26.0,,2.0,,11,1,2011,,,,1,0,1,0,1,0,1
,44,43.0,,29.0,,5.0,,11,1,2011,,,,0,1,1,0,1,0,0
,83,44.0,,20.0,,8.0,,11,1,2011,,,,1,1,1,1,1,0,1
,27,52.0,,30.0,,8.0,,11,1,2011,,,,1,1,1,1,0,0,0
,42,39.0,,20.0,,11.0,,11,1,2011,,,,1,1,1,0,1,0,1
,2,30.0,,17.0,,4.0,,11,1,2011,,,,1,1,1,0,0,0,0
,52,45.0,,30.0,,2.0,,11,1,2011,,,,1,1,1,1,1,0,0
,0,102.0,,66.0,,4.0,,11,1,2011,,,,1,1,1,0,1,0,0
,15,36.0,,22.0,,5.0,,11,1,2011,,,,1,1,1,1,1,1,0
,51,99.0,,77.0,,8.0,,11,1,2011,,,,0,0,1,0,1,0,1
,5,44.0,,29.0,,5.0,,11,1,2011,,,,1,1,1,0,0,0,1
,109,32.0,,18.0,,6.0,,11,2,2011,,,,1,1,1,0,0,0,0
,114,38.0,,21.0,,2.0,,11,2,2011,,,,1,1,1,1,0,0,1
,114,37.0,,18.0,,4.0,,11,2,2011,,,,1,0,1,1,1,0,1
,18,32.0,,18.0,,3.0,,11,2,2011,,,,1,0,1,0,0,0,1
,47,39.0,,20.0,,2.0,,11,2,2011,,,,1,1,1,1,0,0,0
,60,38.0,,19.0,,7.0,,11,2,2011,,,,1,0,1,1,1,0,1
,79,39.0,,20.0,,1.0,,11,2,2011,,,,1,0,1,1,1,0,0
,46,37.0,,22.0,,5.0,,11,2,2011,,,,1,1,1,1,0,0,1
,125,38.0,,20.0,,2.0,,11,3,2011,,,,1,1,1,0,1,0,1
,43,38.0,,22.0,,3.0,,11,3,2011,,,,1,0,1,1,0,0,0
,142,50.0,,30.0,,1.0,,11,3,2011,,,,1,1,1,0,1,0,0
,51,144.0,,68.0,,1.0,,11,3,2011,,,,0,0,1,0,0,0,1
,114,80.0,,46.0,,3.0,,11,3,2011,,,,1,0,1,1,1,0,1
,12,83.0,,83.0,,18.0,,11,3,2011,,,,1,1,1,0,1,0,0
,33,33.0,,32.0,,7.0,,11,3,2011,,,,1,0,1,0,1,0,1
,83,34.0,,19.0,,8.0,,11,3,2011,,,,1,1,1,0,1,1,0
,83,44.0,,28.0,,5.0,,11,3,2011,,,,1,1,1,1,1,0,0
,20,40.0,,22.0,,1.0,,11,3,2011,,,,1,1,1,1,1,0,0
,56,41.0,,20.0,,10.0,,11,3,2011,,,,1,0,1,0,0,0,0
,31,49.0,,27.0,,4.0,,11,3,2011,,,,0,1,1,1,1,0,0
,71,43.0,,29.0,,1.0,,11,3,2011,,,,1,1,1,1,1,0,0
,71,31.0,,19.0,,4.0,,11,5,2011,,,,0,1,1,1,1,0,1
,30,44.0,,27.0,,5.0,,11,5,2011,,,,1,0,1,0,0,0,0
,60,39.0,,20.0,,4.0,,11,5,2011,,,,1,0,1,1,1,0,1
,71,20.0,,12.0,,2.0,,11,5,2011,,,,1,1,1,1,1,0,1
,45,37.0,,19.0,,1.0,,11,5,2011,,,,1,0,1,1,1,1,0
,82,44.0,,27.0,,9.0,,11,5,2011,,,,1,1,1,0,0,0,0
,70,44.0,,28.0,,6.0,,11,5,2011,,,,1,1,1,0,1,0,0
,50,154.0,,101.0,,16.0,,11,0,2011,,,,1,1,1,0,0,0,0
,0,43.0,,28.0,,5.0,,11,0,2011,,,,1,1,1,1,1,0,1
,144,32.0,,18.0,,3.0,,11,0,2011,,,,1,0,1,0,1,0,1
,52,38.0,,20.0,,3.0,,11,0,2011,,,,1,1,1,1,1,0,0
,44,30.0,,18.0,,2.0,,11,0,2011,,,,0,1,1,1,1,0,0
,105,45.0,,28.0,,2.0,,11,0,2011,,,,1,1,1,1,1,0,1
,71,40.0,,27.0,,2.0,,11,0,2011,,,,1,1,1,1,1,0,0
,48,77.0,,47.0,,9.0,,11,0,2011,,,,1,1,1,0,1,0,1
,34,55.0,,34.0,,5.0,,11,0,2011,,,,1,1,1,1,1,0,0
,81,77.0,,47.0,,17.0,,11,0,2011,,,,1,1,1,1,0,0,0
,50,35.0,,19.0,,11.0,,11,0,2011,,,,1,1,1,0,1,0,0
,116,38.0,,23.0,,6.0,,11,0,2011,,,,1,1,1,1,1,0,1
,20,79.0,,47.0,,6.0,,11,0,2011,,,,1,1,1,1,1,0,0
,17,46.0,,30.0,,5.0,,11,0,2011,,,,1,0,1,1,1,0,0
,133,38.0,,19.0,,5.0,,11,1,2011,,,,0,0,1,1,1,1,0
,115,38.0,,38.0,,8.0,,11,1,2011,,,,1,0,1,0,1,0,0
,109,36.0,,35.0,,7.0,,11,1,2011,,,,1,1,1,1,0,0,0
,120,56.0,,55.0,,7.0,,11,1,2011,,,,1,1,1,1,0,0,0
,31,34.0,,19.0,,6.0,,11,1,2011,,,,0,1,1,1,1,0,0
,115,33.0,,18.0,,1.0,,11,1,2011,,,,1,1,1,0,0,0,0
,79,50.0,,32.0,,9.0,,11,2,2011,,,,1,0,1,1,1,0,0
,5,43.0,,26.0,,2.0,,11,2,2011,,,,1,1,1,1,1,0,0
,115,46.0,,28.0,,8.0,,11,2,2011,,,,1,0,1,0,0,0,0
,19,74.0,,45.0,,12.0,,11,2,2011,,,,1,1,1,1,1,0,1
,37,49.0,,33.0,,8.0,,11,2,2011,,,,1,0,1,0,0,0,1
,82,74.0,,45.0,,24.0,,11,2,2011,,,,1,1,1,0,0,0,0
,133,71.0,,41.0,,2.0,,11,3,2011,,,,1,1,1,1,0,0,1
,33,41.0,,21.0,,10.0,,11,3,2011,,,,1,0,1,0,1,0,1
,78,45.0,,28.0,,8.0,,11,3,2011,,,,1,1,1,0,1,0,0
,115,45.0,,29.0,,3.0,,11,3,2011,,,,1,0,1,1,1,0,0
,58,38.0,,23.0,,3.0,,11,3,2011,,,,1,1,1,0,1,0,0
,74,61.0,,38.0,,5.0,,11,4,2011,,,,1,1,1,1,0,0,1
,84,44.0,,28.0,,1.0,,11,4,2011,,,,1,1,1,1,1,0,0
,1,42.0,,27.0,,3.0,,11,4,2011,,,,1,1,1,0,0,1,1
,124,54.0,,28.0,,3.0,,11,4,2011,,,,0,1,1,0,1,0,0
,80,47.0,,30.0,,12.0,,11,4,2011,,,,1,1,1,1,1,0,0
,45,50.0,,29.0,,7.0,,11,4,2011,,,,1,1,1,0,0,0,1
,14,35.0,,20.0,,8.0,,11,4,2011,,,,1,1,1,1,0,0,1
,84,36.0,,19.0,,15.0,,11,4,2011,,,,1,1,1,1,1,0,1
,48,34.0,,14.0,,5.0,,11,4,2011,,,,1,1,1,0,1,0,1
,109,37.0,,21.0,,3.0,,11,4,2011,,,,1,1,1,1,1,0,0
,58,32.0,,18.0,,9.0,,11,4,2011,,,,1,1,1,0,1,0,0
,62,76.0,,43.0,,7.0,,11,4,2011,,,,0,0,1,0,0,0,1
,74,54.0,,32.0,,11.0,,11,5,2011,,,,1,1,1,0,1,0,1
,55,52.0,,30.0,,2.0,,11,5,2011,,,,1,1,1,1,1,1,1
,65,80.0,,43.0,,14.0,,11,5,2011,,,,0,1,1,1,0,0,1
,120,75.0,,51.0,,2.0,,11,5,2011,,,,1,1,1,1,1,0,0
,5,38.0,,20.0,,12.0,,11,0,2011,,,,1,1,1,1,1,0,0
,25,39.0,,18.0,,23.0,,11,0,2011,,,,1,1,1,1,0,0,1
,132,37.0,,19.0,,7.0,,11,0,2011,,,,1,0,1,1,0,0,0
,20,50.0,,33.0,,5.0,,11,0,2011,,,,1,1,1,1,1,0,0
,114,38.0,,20.0,,14.0,,11,0,2011,,,,1,0,1,0,0,0,1
,65,57.0,,33.0,,3.0,,11,0,2011,,,,1,0,1,1,1,0,0
,27,35.0,,20.0,,1.0,,11,0,2011,,,,1,1,1,1,0,0,0
,84,99.0,,63.0,,16.0,,11,0,2011,,,,0,1,1,0,0,1,0
,42,50.0,,29.0,,1.0,,11,0,2011,,,,1,1,1,0,1,0,1
,9,63.0,,45.0,,2.0,,11,1,2011,,,,1,0,1,0,1,0,0
,49,38.0,,19.0,,19.0,,11,1,2011,,,,1,0,1,0,1,1,0
,114,39.0,,20.0,,10.0,,11,1,2011,,,,1,0,1,0,0,0,1
,115,31.0,,20.0,,1.0,,11,1,2011,,,,1,1,1,1,0,0,0
,38,58.0,,34.0,,2.0,,11,1,2011,,,,1,1,1,1,1,0,0
,122,63.0,,34.0,,2.0,,11,2,2011,,,,0,1,1,1,1,0,0
,56,34.0,,19.0,,8.0,,11,2,2011,,,,1,1,1,1,1,0,0
,64,31.0,,19.0,,5.0,,11,2,2011,,,,1,1,1,0,1,0,0
,58,80.0,,45.0,,22.0,,11,2,2011,,,,1,1,1,1,0,1,0
,117,76.0,,44.0,,22.0,,11,2,2011,,,,0,1,1,1,0,0,0
,60,38.0,,20.0,,7.0,,11,2,2011,,,,1,1,1,0,1,1,1
,84,30.0,,18.0,,1.0,,11,3,2011,,,,1,0,1,0,1,0,0
,55,53.0,,30.0,,7.0,,11,3,2011,,,,1,0,1,1,1,0,1
,34,39.0,,18.0,,9.0,,11,3,2011,,,,1,1,1,1,1,0,0
,114,36.0,,19.0,,1.0,,11,3,2011,,,,1,1,1,1,0,0,1
,32,46.0,,28.0,,5.0,,11,3,2011,,,,1,1,1,0,1,1,0
,38,76.0,,44.0,,,,11,3,2011,,,,1,1,1,1,0,0,1
