build_year,full_sq,kitch_sq,life_sq,num_room,floor,max_floor,rel_floor,rel_kitch_sq,state,kindergarten_closely,railroad_closely,public_transport_station_closely,metro_closely,school_closely,park_closely,water_closely,price_doc
,30.0,,18.0,,3.0,,,,,1,1,1,1,0,0,0,4050000.0
,76.0,,51.0,,2.0,,,,,1,1,1,1,0,0,0,10600000.0
,44.0,,29.0,,8.0,,,,,1,0,1,1,1,0,0,5500000.0
,35.0,,21.0,,5.0,,,,,1,1,1,1,0,0,1,5750000.0
,72.0,,45.0,,10.0,,,,,1,0,1,1,1,1,0,13500000.0
,32.0,,18.0,,6.0,,,,,1,1,1,1,1,0,0,4850000.0
,84.0,,43.0,,21.0,,,,,0,0,1,0,1,0,1,7700000.0
,45.0,,26.0,,5.0,,,,,1,1,1,1,1,0,1,2000000.0
,38.0,,20.0,,5.0,,,,,1,1,1,0,0,0,1,6197000.0
,37.0,,23.0,,7.0,,,,,0,1,1,1,0,0,0,6200000.0
,54.0,,32.0,,15.0,,,,,1,0,1,0,1,0,1,8590000.0
,43.0,,28.0,,2.0,,,,,0,1,1,0,0,0,0,3600000.0
,45.0,,27.0,,,,,,,1,1,1,1,1,0,1,2825000.0
,50.0,,28.0,,14.0,,,,,0,1,1,0,1,0,1,9200000.0
,17.0,,13.0,,4.0,,,,,1,0,1,1,1,0,0,3670000.0
,58.0,,38.0,,8.0,,,,,1,1,1,1,1,0,0,9200000.0
,38.0,,19.0,,5.0,,,,,1,1,1,1,1,0,1,6120000.0
,93.0,,54.0,,5.0,,,,,0,0,1,0,1,1,1,11640000.0
,32.0,,17.0,,3.0,,,,,1,1,1,1,1,0,0,5700000.0
,57.0,,43.0,,1.0,,,,,0,0,1,0,1,0,0,6800000.0
,37.0,,19.0,,16.0,,,,,1,1,1,0,1,1,1,7500000.0
,41.0,,27.0,,7.0,,,,,1,0,1,0,1,0,0,4700000.0
,34.0,,19.0,,4.0,,,,,1,1,1,0,1,0,1,5000000.0
,44.0,,27.0,,9.0,,,,,1,0,1,1,1,0,1,6090000.0
,41.0,,21.0,,9.0,,,,,1,1,1,1,1,0,0,5360000.0
,38.0,,23.0,,4.0,,,,,1,1,1,1,0,1,1,7500000.0
,52.0,,30.0,,9.0,,,,,1,1,1,1,1,0,1,9000000.0
,48.0,,10.0,,9.0,,,,,1,1,1,0,1,0,1,2000000.0
,44.0,,28.0,,3.0,,,,,1,0,1,1,1,0,0,6350000.0
,30.0,,17.0,,6.0,,,,,1,1,1,0,1,0,0,5400000.0
,60.0,,33.0,,11.0,,,,,1,1,1,0,1,0,0,6000000.0
,50.0,,34.0,,6.0,,,,,1,1,1,1,1,0,0,6400000.0
,43.0,,19.0,,10.0,,,,,1,1,1,0,0,0,0,5500000.0
,54.0,,32.0,,3.0,,,,,1,1,1,0,1,0,0,7000000.0
,39.0,,21.0,,3.0,,,,,1,0,1,0,1,0,1,3100000.0
,76.0,,45.0,,4.0,,,,,1,0,1,1,1,1,0,5000000.0
,45.0,,29.0,,2.0,,,,,1,0,1,0,1,0,0,6170000.0
,38.0,,21.0,,2.0,,,,,1,1,1,1,1,0,0,5500000.0
,60.0,,34.0,,3.0,,,,,1,1,1,1,0,0,0,7400000.0
,38.0,,18.0,,3.0,,,,,1,0,1,1,1,1,0,4930000.0
,75.0,,45.0,,12.0,,,,,0,0,1,1,1,0,0,14000000.0
,57.0,,42.0,,7.0,,,,,1,1,1,1,1,0,0,8600000.0
,35.0,,14.0,,2.0,,,,,0,0,1,0,1,0,1,5750000.0
,34.0,,19.0,,10.0,,,,,1,1,1,0,1,0,1,5400000.0
,41.0,,26.0,,2.0,,,,,1,0,1,0,1,0,1,5425000.0
,43.0,,29.0,,5.0,,,,,0,1,1,0,1,0,0,5450000.0
,44.0,,20.0,,8.0,,,,,1,1,1,1,1,0,1,6200000.0
,52.0,,30.0,,8.0,,,,,1,1,1,1,0,0,0,7400000.0
,39.0,,20.0,,11.0,,,,,1,1,1,0,1,0,1,4300000.0
,30.0,,17.0,,4.0,,,,,1,1,1,0,0,0,0,5000000.0
,45.0,,30.0,,2.0,,,,,1,1,1,1,1,0,0,4000000.0
,102.0,,66.0,,4.0,,,,,1,1,1,0,1,0,0,17300000.0
,36.0,,22.0,,5.0,,,,,1,1,1,1,1,1,0,5200000.0
,99.0,,77.0,,8.0,,,,,0,0,1,0,1,0,1,6500000.0
,44.0,,29.0,,5.0,,,,,1,1,1,0,0,0,1,5300000.0
,32.0,,18.0,,6.0,,,,,1,1,1,0,0,0,0,5200000.0
,38.0,,21.0,,2.0,,,,,1,1,1,1,0,0,1,4950000.0
,37.0,,18.0,,4.0,,,,,1,0,1,1,1,0,1,5400000.0
,32.0,,18.0,,3.0,,,,,1,0,1,0,0,0,1,4700000.0
,39.0,,20.0,,2.0,,,,,1,1,1,1,0,0,0,7200000.0
,38.0,,19.0,,7.0,,,,,1,0,1,1,1,0,1,5750000.0
,39.0,,20.0,,1.0,,,,,1,0,1,1,1,0,0,4700000.0
,37.0,,22.0,,5.0,,,,,1,1,1,1,0,0,1,6150000.0
,38.0,,20.0,,2.0,,,,,1,1,1,0,1,0,1,2000000.0
,38.0,,22.0,,3.0,,,,,1,0,1,1,0,0,0,6579000.0
,50.0,,30.0,,1.0,,,,,1,1,1,0,1,0,0,6225000.0
,144.0,,68.0,,1.0,,,,,0,0,1,0,0,0,1,5817420.0
,80.0,,46.0,,3.0,,,,,1,0,1,1,1,0,1,13000000.0
,83.0,,83.0,,18.0,,,,,1,1,1,0,1,0,0,11380040.0
,33.0,,32.0,,7.0,,,,,1,0,1,0,1,0,1,4700000.0
,34.0,,19.0,,8.0,,,,,1,1,1,0,1,1,0,4500000.0
,44.0,,28.0,,5.0,,,,,1,1,1,1,1,0,0,5800000.0
,40.0,,22.0,,1.0,,,,,1,1,1,1,1,0,0,3000000.0
,41.0,,20.0,,10.0,,,,,1,0,1,0,0,0,0,4650000.0
,49.0,,27.0,,4.0,,,,,0,1,1,1,1,0,0,8800000.0
,43.0,,29.0,,1.0,,,,,1,1,1,1,1,0,0,5220000.0
,31.0,,19.0,,4.0,,,,,0,1,1,1,1,0,1,4650000.0
,44.0,,27.0,,5.0,,,,,1,0,1,0,0,0,0,7100000.0
,39.0,,20.0,,4.0,,,,,1,0,1,1,1,0,1,5550000.0
,20.0,,12.0,,2.0,,,,,1,1,1,1,1,0,1,4000000.0
,37.0,,19.0,,1.0,,,,,1,0,1,1,1,1,0,4430000.0
,44.0,,27.0,,9.0,,,,,1,1,1,0,0,0,0,6150000.0
,44.0,,28.0,,6.0,,,,,1,1,1,0,1,0,0,7400000.0
,154.0,,101.0,,16.0,,,,,1,1,1,0,0,0,0,23300000.0
,43.0,,28.0,,5.0,,,,,1,1,1,1,1,0,1,8750000.0
,32.0,,18.0,,3.0,,,,,1,0,1,0,1,0,1,5200000.0
,38.0,,20.0,,3.0,,,,,1,1,1,1,1,0,0,5500000.0
,30.0,,18.0,,2.0,,,,,0,1,1,1,1,0,0,4650000.0
,45.0,,28.0,,2.0,,,,,1,1,1,1,1,0,1,7150000.0
,40.0,,27.0,,2.0,,,,,1,1,1,1,1,0,0,5850000.0
,77.0,,47.0,,9.0,,,,,1,1,1,0,1,0,1,8700000.0
,55.0,,34.0,,5.0,,,,,1,1,1,1,1,0,0,8000000.0
,77.0,,47.0,,17.0,,,,,1,1,1,1,0,0,0,6000000.0
,35.0,,19.0,,11.0,,,,,1,1,1,0,1,0,0,6000000.0
,38.0,,23.0,,6.0,,,,,1,1,1,1,1,0,1,4118916.0
,79.0,,47.0,,6.0,,,,,1,1,1,1,1,0,0,10600000.0
,46.0,,30.0,,5.0,,,,,1,0,1,1,1,0,0,2000000.0
,38.0,,19.0,,5.0,,,,,0,0,1,1,1,1,0,6300000.0
,38.0,,38.0,,8.0,,,,,1,0,1,0,1,0,0,6100000.0
,36.0,,35.0,,7.0,,,,,1,1,1,1,0,0,0,5300000.0
,56.0,,55.0,,7.0,,,,,1,1,1,1,0,0,0,3000000.0
,34.0,,19.0,,6.0,,,,,0,1,1,1,1,0,0,6400000.0
,33.0,,18.0,,1.0,,,,,1,1,1,0,0,0,0,4400000.0
,50.0,,32.0,,9.0,,,,,1,0,1,1,1,0,0,5870000.0
,43.0,,26.0,,2.0,,,,,1,1,1,1,1,0,0,6300000.0
,46.0,,28.0,,8.0,,,,,1,0,1,0,0,0,0,5800000.0
,74.0,,45.0,,12.0,,,,,1,1,1,1,1,0,1,12500000.0
,49.0,,33.0,,8.0,,,,,1,0,1,0,0,0,1,7500000.0
,74.0,,45.0,,24.0,,,,,1,1,1,0,0,0,0,7245900.0
,71.0,,41.0,,2.0,,,,,1,1,1,1,0,0,1,20500000.0
,41.0,,21.0,,10.0,,,,,1,0,1,0,1,0,1,2000000.0
,45.0,,28.0,,8.0,,,,,1,1,1,0,1,0,0,6500000.0
,45.0,,29.0,,3.0,,,,,1,0,1,1,1,0,0,2000000.0
,38.0,,23.0,,3.0,,,,,1,1,1,0,1,0,0,5800000.0
,61.0,,38.0,,5.0,,,,,1,1,1,1,0,0,1,7538000.0
,44.0,,28.0,,1.0,,,,,1,1,1,1,1,0,0,5100000.0
,42.0,,27.0,,3.0,,,,,1,1,1,0,0,1,1,8750000.0
,54.0,,28.0,,3.0,,,,,0,1,1,0,1,0,0,5928000.0
,47.0,,30.0,,12.0,,,,,1,1,1,1,1,0,0,6400000.0
,50.0,,29.0,,7.0,,,,,1,1,1,0,0,0,1,6500000.0
,35.0,,20.0,,8.0,,,,,1,1,1,1,0,0,1,5300000.0
,36.0,,19.0,,15.0,,,,,1,1,1,1,1,0,1,6000000.0
,34.0,,14.0,,5.0,,,,,1,1,1,0,1,0,1,3750000.0
,37.0,,21.0,,3.0,,,,,1,1,1,1,1,0,0,5600000.0
,32.0,,18.0,,9.0,,,,,1,1,1,0,1,0,0,4600000.0
,76.0,,43.0,,7.0,,,,,0,0,1,0,0,0,1,7950000.0
,54.0,,32.0,,11.0,,,,,1,1,1,0,1,0,1,5156678.0
,52.0,,30.0,,2.0,,,,,1,1,1,1,1,1,1,6500000.0
,80.0,,43.0,,14.0,,,,,0,1,1,1,0,0,1,5216843.0
,75.0,,51.0,,2.0,,,,,1,1,1,1,1,0,0,10500000.0
,38.0,,20.0,,12.0,,,,,1,1,1,1,1,0,0,5500000.0
,39.0,,18.0,,23.0,,,,,1,1,1,1,0,0,1,7500000.0
,37.0,,19.0,,7.0,,,,,1,0,1,1,0,0,0,8400000.0
,50.0,,33.0,,5.0,,,,,1,1,1,1,1,0,0,9150000.0
,38.0,,20.0,,14.0,,,,,1,0,1,0,0,0,1,5700000.0
,57.0,,33.0,,3.0,,,,,1,0,1,1,1,0,0,8500000.0
,35.0,,20.0,,1.0,,,,,1,1,1,1,0,0,0,4650000.0
,99.0,,63.0,,16.0,,,,,0,1,1,0,0,1,0,11500000.0
,50.0,,29.0,,1.0,,,,,1,1,1,0,1,0,1,5000000.0
,63.0,,45.0,,2.0,,,,,1,0,1,0,1,0,0,7600000.0
,38.0,,19.0,,19.0,,,,,1,0,1,0,1,1,0,7200000.0
,39.0,,20.0,,10.0,,,,,1,0,1,0,0,0,1,5500000.0
,31.0,,20.0,,1.0,,,,,1,1,1,1,0,0,0,4500000.0
,58.0,,34.0,,2.0,,,,,1,1,1,1,1,0,0,8300000.0
,63.0,,34.0,,2.0,,,,,0,1,1,1,1,0,0,10000000.0
,34.0,,19.0,,8.0,,,,,1,1,1,1,1,0,0,5250000.0
,31.0,,19.0,,5.0,,,,,1,1,1,0,1,0,0,4300000.0
,80.0,,45.0,,22.0,,,,,1,1,1,1,0,1,0,11500000.0
,76.0,,44.0,,22.0,,,,,0,1,1,1,0,0,0,11413900.0
,38.0,,20.0,,7.0,,,,,1,1,1,0,1,1,1,5700000.0
,30.0,,18.0,,1.0,,,,,1,0,1,0,1,0,0,4200000.0
,53.0,,30.0,,7.0,,,,,1,0,1,1,1,0,1,8000000.0
,39.0,,18.0,,9.0,,,,,1,1,1,1,1,0,0,6730000.0
,36.0,,19.0,,1.0,,,,,1,1,1,1,0,0,1,4700000.0
,46.0,,28.0,,5.0,,,,,1,1,1,0,1,1,0,5900000.0
,76.0,,44.0,,,,,,,1,1,1,1,0,0,1,9300000.0
,38.0,,19.0,,6.0,,,,,1,0,1,1,1,0,0,5200000.0
,38.0,,20.0,,2.0,,,,,1,1,1,0,1,0,0,5900000.0
,43.0,,27.0,,2.0,,,,,1,1,1,0,0,0,0,5650000.0
,37.0,,19.0,,2.0,,,,,1,1,1,1,1,0,1,5500000.0
,36.0,,14.0,,8.0,,,,,1,0,1,0,1,0,1,5500000.0
,75.0,,44.0,,5.0,,,,,1,1,1,0,1,0,0,12100000.0
,54.0,,28.0,,12.0,,,,,1,1,1,1,1,0,0,11500000.0
,37.0,,19.0,,6.0,,,,,1,1,1,0,1,0,1,5500000.0
,63.0,,38.0,,4.0,,,,,1,1,1,1,0,1,1,7400000.0
,40.0,,17.0,,8.0,,,,,0,1,1,0,1,0,0,4500000.0
,34.0,,19.0,,7.0,,,,,1,1,1,0,1,0,1,5150000.0
,70.0,,45.0,,12.0,,,,,1,1,1,0,1,0,1,7000000.0
,38.0,,19.0,,3.0,,,,,1,0,1,1,1,0,0,7200000.0
,31.0,,20.0,,1.0,,,,,1,0,1,1,1,0,0,3900000.0
,34.0,,21.0,,4.0,,,,,1,1,1,0,1,0,0,5100000.0
,32.0,,17.0,,4.0,,,,,0,0,1,0,1,0,0,3700000.0
,38.0,,23.0,,12.0,,,,,1,1,1,0,1,0,0,3000000.0
,44.0,,28.0,,1.0,,,,,1,0,1,0,1,0,0,2000000.0
,79.0,,44.0,,3.0,,,,,1,0,1,1,1,0,0,5500000.0
,55.0,,26.0,,2.0,,,,,1,0,1,1,1,0,0,5800000.0
,37.0,,23.0,,2.0,,,,,1,1,1,0,0,0,1,5700000.0
,32.0,,15.0,,6.0,,,,,1,1,1,1,0,0,1,10900000.0
,43.0,,27.0,,7.0,,,,,0,1,1,0,1,0,0,5000000.0
,59.0,,40.0,,4.0,,,,,1,1,1,0,1,0,0,8600000.0
,67.0,,46.0,,12.0,,,,,1,1,1,0,0,0,0,10200000.0
,37.0,,22.0,,4.0,,,,,1,1,1,1,1,0,0,5300000.0
